ISSUERTRADINGSYMBOL,RPTOWNERNAME,RPTOWNER_RELATIONSHIP,TRANS_DATE,TRANS_CODE,TRANS_SHARES,TRANS_PRICEPERSHARE,TransactionValue,alpha,beta,CAR
JNJ,Mongon Thibaut,Officer,2022-03-17,S,57.0,176.28,10047.96,0.0002717583537981,0.2592535839432052,0.017269268150398785
JNJ,Mongon Thibaut,Officer,2022-03-17,S,57.0,176.28,10047.96,0.0002717583537981,0.2592535839432052,0.017269268150398785
JNJ,Mongon Thibaut,Officer,2022-03-17,S,100.0,176.28,17628.0,0.0002717583537981,0.2592535839432052,0.017269268150398785
V,MATSCHULLAT ROBERT W,Director,2022-03-16,S,1114.0,210.94,234987.16,-0.0004224882347438,1.1453551893187626,0.043058156071883756
JNJ,Decker Robert J,Officer,2022-03-15,S,250.0,175.51,43877.5,0.0002766382983,0.2570631253670729,-0.004739538999893643
JNJ,Decker Robert J,Officer,2022-03-15,S,2000.0,175.51,351020.0,0.0002766382983,0.2570631253670729,-0.004739538999893643
JNJ,Decker Robert J,Officer,2022-03-15,S,2750.0,175.51,482652.5,0.0002766382983,0.2570631253670729,-0.004739538999893643
DIS,WOODFORD BRENT,Officer,2022-03-10,S,226.0,132.5,29945.0,-0.002103875924177,0.9416050010865484,-0.03479141687749815
TSLA,Kirkhorn Zachary,Officer,2022-03-07,S,2389.0,845.39,2019636.71,0.0010218580549537,1.671288176741293,0.022355755360741345
TSLA,Baglino Andrew D,Officer,2022-03-07,S,897.0,845.39,758314.83,0.0010218580549537,1.671288176741293,0.022355755360741345
TSLA,Taneja Vaibhav,Officer,2022-03-07,S,1535.0,845.39,1297673.65,0.0010218580549537,1.671288176741293,0.022355755360741345
PYPL,Auerbach Jonathan,Officer,2022-03-04,S,40749.0,100.62,4100164.38,-0.0020856294880999,1.4659914663769784,-0.025794559380251724
VZ,Silliman Craig L.,Officer,2022-03-03,S,1558.0,54.48,84879.84,-6.0721576482708416e-05,0.1196192232675266,-0.0027614894281387387
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,600.0,857.65,514590.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,1200.0,859.02,1030824.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,1500.0,860.37,1290555.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,1800.0,861.5,1550700.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,1400.0,862.66,1207724.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,1200.0,863.67,1036404.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,1400.0,864.82,1210748.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,500.0,865.84,432920.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,600.0,866.92,520152.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,400.0,868.0,347200.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,11400.0,869.94,9917316.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,300.0,871.39,261417.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,300.0,872.6,261780.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,400.0,873.62,349448.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,200.0,874.73,174946.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,100.0,875.49,87549.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,300.0,878.27,263481.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,300.0,879.52,263856.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,100.0,880.74,88074.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,100.0,882.01,88201.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,600.0,885.32,531192.0,0.0010733532819055,1.77931832181312,0.03109818607498345
TSLA,DENHOLM ROBYN M,Director,2022-03-01,S,300.0,886.23,265869.0,0.0010733532819055,1.77931832181312,0.03109818607498345
PG,Moeller Jon R,"Director,Officer",2022-03-01,S,3231.0,153.51,495990.81,0.0010232751014743,0.2991009837423256,-0.08210547541668871
PG,Moeller Jon R,"Director,Officer",2022-03-01,S,315.0,153.51,48355.65,0.0010232751014743,0.2991009837423256,-0.08210547541668871
PG,Janzaruk Matthew W.,Officer,2022-03-01,S,155.0,153.51,23794.05,0.0010232751014743,0.2991009837423256,-0.08210547541668871
PG,Majoras Deborah P,Officer,2022-03-01,S,1927.0,153.51,295813.77,0.0010232751014743,0.2991009837423256,-0.08210547541668871
PG,Taylor David S,"Director,Officer",2022-03-01,S,12953.0,153.51,1988415.03,0.0010232751014743,0.2991009837423256,-0.08210547541668871
PG,TASTAD CAROLYN M,Officer,2022-03-01,S,3730.0,153.51,572592.2999999999,0.0010232751014743,0.2991009837423256,-0.08210547541668871
PG,Schulten Andre,Officer,2022-03-01,S,1335.0,153.51,204935.85,0.0010232751014743,0.2991009837423256,-0.08210547541668871
PG,Keith R. Alexandra,Officer,2022-03-01,S,5777.0,153.51,886827.2699999999,0.0010232751014743,0.2991009837423256,-0.08210547541668871
PG,Keith R. Alexandra,Officer,2022-03-01,S,1054.0,153.51,161799.53999999998,0.0010232751014743,0.2991009837423256,-0.08210547541668871
TSLA,Baglino Andrew D,Officer,2022-02-28,S,3500.0,815.72,2855020.0,0.0008635520434337,1.806097999054099,-0.012370097050732186
NVDA,HUANG JEN HSUN,"Director,Officer",2022-03-01,S,11208.0,242.88,2722199.04,0.001714373711957,2.1994779312013444,-0.016584179902496582
NVDA,HUANG JEN HSUN,"Director,Officer",2022-03-01,S,52983.0,241.96,12819766.68,0.001714373711957,2.1994779312013444,-0.016584179902496582
NVDA,HUANG JEN HSUN,"Director,Officer",2022-03-01,S,21398.0,241.04,5157773.92,0.001714373711957,2.1994779312013444,-0.016584179902496582
NVDA,HUANG JEN HSUN,"Director,Officer",2022-03-01,S,19803.0,239.82,4749155.46,0.001714373711957,2.1994779312013444,-0.016584179902496582
NVDA,HUANG JEN HSUN,"Director,Officer",2022-03-01,S,24525.0,239.12,5864418.0,0.001714373711957,2.1994779312013444,-0.016584179902496582
NVDA,HUANG JEN HSUN,"Director,Officer",2022-03-01,S,27280.0,232.03,6329778.4,0.001714373711957,2.1994779312013444,-0.016584179902496582
NVDA,HUANG JEN HSUN,"Director,Officer",2022-03-01,S,34353.0,232.88,8000126.64,0.001714373711957,2.1994779312013444,-0.016584179902496582
NVDA,HUANG JEN HSUN,"Director,Officer",2022-03-01,S,41983.0,233.93,9821083.19,0.001714373711957,2.1994779312013444,-0.016584179902496582
NVDA,HUANG JEN HSUN,"Director,Officer",2022-03-01,S,29661.0,234.87,6966479.07,0.001714373711957,2.1994779312013444,-0.016584179902496582
NVDA,HUANG JEN HSUN,"Director,Officer",2022-03-01,S,21446.0,235.89,5058896.94,0.001714373711957,2.1994779312013444,-0.016584179902496582
NVDA,HUANG JEN HSUN,"Director,Officer",2022-03-01,S,2000.0,236.82,473640.0,0.001714373711957,2.1994779312013444,-0.016584179902496582
NVDA,HUANG JEN HSUN,"Director,Officer",2022-03-01,S,5700.0,238.19,1357683.0,0.001714373711957,2.1994779312013444,-0.016584179902496582
MSFT,Nadella Satya,"Director,Officer",2022-03-01,S,7931.0,296.52,2351700.12,0.0003566418921824,1.2421466266791297,0.0064540029782548455
PYPL,Alford Peggy,Officer,2022-02-28,S,926.0,110.31,102147.06,-0.0029082127743958,1.5571855628657216,-0.0143528653403623
V,KELLY ALFRED F JR,"Director,Officer",2022-02-28,S,9000.0,216.0,1944000.0,-0.0007894472349741,1.0362487720127094,-0.11028675165839316
UNH,BURKE RICHARD T,Director,2022-02-23,S,4000.0,465.3,1861200.0,0.001067903702445,0.6847009726492874,0.014116956189985264
UNH,BURKE RICHARD T,Director,2022-02-25,S,6000.0,470.38,2822280.0,0.0010735726649176,0.708613638794462,0.05064811370396216
UNH,GARCIA PAUL R,Director,2022-02-22,P,2146.0,464.97,997825.62,0.001036907554872,0.6771138766633205,0.002693156212286241
AMZN,Jassy Andrew R,"Director,Officer",2022-02-22,S,492.0,3009.57,1480708.4400000002,-0.0006154637886916,1.0378572704562248,0.020757601897363347
AMZN,Clark David H,Officer,2022-02-22,S,137.0,3009.57,412311.09,-0.0006154637886916,1.0378572704562248,0.020757601897363347
TSLA,Kirkhorn Zachary,Officer,2022-02-17,S,1250.0,913.26,1141575.0,0.0007936124033403,1.8995018414424931,-0.05645076674544096
