ISSUERTRADINGSYMBOL,RPTOWNERNAME,RPTOWNER_RELATIONSHIP,TRANS_DATE,TRANS_CODE,TRANS_SHARES,TRANS_PRICEPERSHARE,TransactionValue,alpha,beta
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,56907.0,835.28,47533278.96,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,65403.0,836.2,54689988.6,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,50381.0,837.32,42185018.92,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,71592.0,838.23,60010562.16,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,103160.0,839.36,86588377.6,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,84942.0,840.31,71377612.02,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,59031.0,841.22,49658057.82,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,43773.0,842.27,36868684.71,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,56575.0,843.27,47708000.25,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,56543.0,844.32,47740385.760000005,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,80962.0,845.38,68443655.56,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,67319.0,846.34,56974762.46,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,10803.0,822.68,8887412.04,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,8653.0,824.43,7133792.789999999,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,61329.0,847.32,51965288.28,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,29034.0,848.3,24629542.2,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,60495.0,849.38,51383243.1,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,64253.0,850.35,54637538.55,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,46965.0,852.44,40034844.6,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,4600.0,888.24,4085904.0,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,4685.0,906.76,4248170.6,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,13724.0,890.8,12225339.2,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,16264.0,891.92,14506186.88,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,13843.0,892.75,12358338.25,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,7378.0,894.02,6596079.56,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,20087.0,895.2,17981882.400000002,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,25951.0,895.97,23251317.470000003,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,28038.0,897.21,25155973.98,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,29765.0,898.16,26733732.4,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,16532.0,899.3,14867227.6,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,39978.0,900.28,35991393.84,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,59072.0,901.16,53233323.52,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,22110.0,902.19,19947420.9,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,25134.0,903.16,22700023.44,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,3303.0,904.23,2986671.69,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,934.0,905.28,845531.52,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,14203.0,889.66,12635840.98,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,1140.0,973.54,1109835.6,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,5306.0,887.3,4708013.8,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,6467.0,977.54,6321751.18,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,1817.0,978.08,1777171.36,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,681.0,979.67,667155.27,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,25472.0,982.08,25015541.76,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,7182.0,983.07,7060408.74,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,15650.0,984.53,15407894.5,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,29962.0,985.57,29529648.34,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,16304.0,986.43,16082754.72,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,11051.0,987.54,10913304.54,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,5416.0,988.61,5354311.76,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,3631.0,989.56,3593092.36,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,11024.0,991.37,10928862.88,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,2800.0,992.67,2779476.0,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,9700.0,993.7,9638890.0,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,29616.0,995.35,29478285.6,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,10237.0,996.36,10199737.32,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,10789.0,998.14,10768932.46,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,700.0,999.13,699391.0,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,54570.0,878.13,47919554.1,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,13457.0,879.11,11830183.27,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,69632.0,880.34,61299834.88,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,86324.0,881.41,76086836.84,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,83937.0,882.17,74046703.28999999,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,42320.0,883.07,37371522.4,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,9850.0,884.21,8709468.5,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,14707.0,885.38,13021283.66,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-27,S,9296.0,886.39,8239881.439999999,0.0011591775480646333,1.7339916776197235
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,15889.0,976.45,15514814.05,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,21274.0,946.0,20125204.0,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,8476.0,946.97,8026517.720000001,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,9681.0,948.08,9178362.48,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,13330.0,949.1,12651503.0,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,21085.0,950.16,20034123.6,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,6180.0,951.0,5877180.0,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,6336.0,955.82,6056075.5200000005,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,8396.0,957.24,8036987.04,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,1949.0,959.01,1869110.49,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,604.0,960.71,580268.84,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,6075.0,962.4,5846580.0,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,10711.0,963.44,10319405.84,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,6462.0,964.8,6234537.6,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,12813.0,966.12,12378895.56,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,28163.0,967.25,27240661.75,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,34967.0,968.33,33859595.11,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,427.0,969.0,413763.0,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,18803.0,971.86,18273883.58,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,809.0,972.64,786865.76,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,14442.0,934.79,13500237.18,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,2090.0,936.2,1956658.0,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,3800.0,938.46,3566148.0,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,1800.0,939.17,1690506.0,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,25949.0,940.86,24414376.14,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,5573.0,944.9,5265927.7,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,8388.0,943.89,7917349.32,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,7534.0,942.79,7102979.859999999,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,12613.0,941.87,11879806.31,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,17430.0,957.81,16694628.3,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,6413.0,929.56,5961268.279999999,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,11604.0,930.57,10798334.28,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,15220.0,931.68,14180169.6,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,9295.0,932.65,8668981.75,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,20036.0,933.63,18706210.68,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,109363.0,904.03,98867432.89,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,84051.0,905.0,76066155.0,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,86670.0,905.96,78519553.2,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,65040.0,907.05,58994532.0,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,30784.0,908.05,27953411.2,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,53610.0,909.13,48738459.3,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,38402.0,909.98,34945051.96,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,15293.0,910.8,13928864.4,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,18538.0,912.1,16908509.8,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,23478.0,913.1,21437761.8,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,3176.0,913.84,2902355.8400000003,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,2448.0,915.44,2240997.12,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,18607.0,916.46,17052571.220000003,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,30320.0,917.21,27809807.2,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,14635.0,918.19,13437710.65,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,23753.0,919.59,21843021.27,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,27866.0,920.33,25645915.78,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,31556.0,921.42,29076329.52,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,29411.0,922.53,27132529.83,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,24236.0,923.35,22378310.6,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,16916.0,924.46,15638165.36,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,26472.0,925.37,24496394.64,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,22054.0,926.31,20428840.74,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,8122.0,927.16,7530393.52,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,22456.0,928.54,20851294.24,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,150138.0,887.84,133298521.92,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,35296.0,898.16,31701455.36,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,58717.0,896.89,52662690.13,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,79331.0,895.88,71071056.28,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,66241.0,894.98,59284370.18,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,103930.0,893.97,92910302.1,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,76450.0,892.97,68267556.5,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,99221.0,891.88,88493225.48,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,105802.0,890.9,94259001.8,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,106258.0,889.97,94566432.26,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,136118.0,888.88,120992567.84,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,57713.0,899.02,51885141.26,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,208342.0,886.8,184757685.6,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,89645.0,885.92,79418298.39999999,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,80095.0,885.03,70886477.85,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,59995.0,900.01,53996099.95,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,34219.0,901.05,30833029.95,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,106840.0,902.01,96370748.4,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,66734.0,902.99,60260134.66,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,1893.0,872.02,1650733.86,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,34259.0,875.19,29983134.21,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,201269.0,876.42,176396176.98,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,29006.0,877.49,25452474.94,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,73145.0,878.29,64242522.05,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,37000.0,879.65,32547050.0,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,83970.0,880.23,73912913.10000001,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,9910.0,881.41,8734773.1,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,17661.0,882.25,15581417.25,0.0009517135543842402,1.7118034474193207
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-26,S,49286.0,883.84,43560938.24,0.0009517135543842402,1.7118034474193207
VZ,Erwin Tami A.,Officer,2022-04-26,S,23647.0,49.77,1176911.1900000002,-0.0001370090479531977,0.21522457904914438
PG,Janzaruk Matthew W.,Officer,2022-04-26,S,334.0,162.43,54251.62,0.000568118336629432,0.3084746549701577
ADBE,Belsky Scott,Officer,2022-04-25,S,2710.0,410.18,1111587.8,-0.0008492408789850161,1.4886389409582725
ADBE,WARNOCK JOHN E,Director,2022-04-26,S,1317.0,403.94,531988.98,-0.000841882366862168,1.4885047556684456
ADBE,WARNOCK JOHN E,Director,2022-04-26,S,3683.0,404.43,1489515.69,-0.000841882366862168,1.4885047556684456
PG,Taylor David S,"Director,Officer",2022-04-25,S,30000.0,162.83,4884900.0,0.0005083653959553884,0.3140535450096965
JNJ,Hait William,Officer,2022-04-21,S,1403.0,183.58,257562.74,0.0002182659396628547,0.2884824577760353
JNJ,Hait William,Officer,2022-04-21,S,22591.0,183.58,4147255.78,0.0002182659396628547,0.2884824577760353
JNJ,Hait William,Officer,2022-04-21,S,2884.0,183.58,529444.7200000001,0.0002182659396628547,0.2884824577760353
JNJ,Hait William,Officer,2022-04-21,S,1696.0,183.58,311351.68,0.0002182659396628547,0.2884824577760353
JNJ,Hait William,Officer,2022-04-21,S,700.0,183.58,128506.0,0.0002182659396628547,0.2884824577760353
JNJ,Hait William,Officer,2022-04-21,S,225.0,183.58,41305.5,0.0002182659396628547,0.2884824577760353
JNJ,Hait William,Officer,2022-04-21,S,100.0,183.58,18358.0,0.0002182659396628547,0.2884824577760353
JNJ,Hait William,Officer,2022-04-21,S,100.0,183.58,18358.0,0.0002182659396628547,0.2884824577760353
PG,Taylor David S,"Director,Officer",2022-04-21,S,60000.0,164.52,9871200.0,0.000560475681457496,0.3007379148421427
PG,Keith R. Alexandra,Officer,2022-04-21,S,1335.0,163.5,218272.5,0.000560475681457496,0.3007379148421427
PG,Keith R. Alexandra,Officer,2022-04-21,S,6854.0,163.5,1120629.0,0.000560475681457496,0.3007379148421427
PG,Francisco Ma. Fatima,Officer,2022-04-21,S,2000.0,164.64,329280.0,0.000560475681457496,0.3007379148421427
PG,Francisco Ma. Fatima,Officer,2022-04-21,S,16000.0,164.04,2624640.0,0.000560475681457496,0.3007379148421427
AAPL,O'BRIEN DEIRDRE,Officer,2022-04-18,S,4569.0,164.54,751783.26,0.00074853145279294,1.2435982647159671
AAPL,O'BRIEN DEIRDRE,Officer,2022-04-18,S,3431.0,165.41,567521.71,0.00074853145279294,1.2435982647159671
JPM,BACON ASHLEY,Officer,2022-04-19,S,21012.0,130.04,2732400.48,-0.0005659272093001558,0.9115205852046806
ADBE,WARNOCK JOHN E,Director,2022-04-14,S,615.0,432.03,265698.45,-0.0006870077845364358,1.4566346725953216
JPM,Piepszak Jennifer,Officer,2022-04-14,S,4668.0,126.19,589054.92,-0.0004849242825358582,0.8898281163313263
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,100.0,1150.02,115002.0,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,100.0,1148.2,114820.0,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,100.0,1145.89,114589.0,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,100.0,1144.18,114418.0,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,200.0,1142.1,228420.0,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,400.0,1139.83,455932.0,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,200.0,1138.34,227668.0,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,100.0,1136.8,113680.0,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,200.0,1097.15,219430.00000000003,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,300.0,1098.57,329571.0,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,200.0,1099.58,219916.0,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,600.0,1101.87,661121.9999999999,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,300.0,1103.0,330900.0,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,200.0,1104.14,220828.00000000003,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,200.0,1105.86,221172.0,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,100.0,1106.8,110680.0,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,100.0,1108.28,110828.0,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,100.0,1109.71,110971.0,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,100.0,1112.69,111269.0,0.0009190331324904069,1.7474046615104004
TSLA,Taneja Vaibhav,Officer,2022-04-05,S,100.0,1114.19,111419.0,0.0009190331324904069,1.7474046615104004
