ISSUERTRADINGSYMBOL,RPTOWNERNAME,RPTOWNER_RELATIONSHIP,TRANS_DATE,TRANS_CODE,TRANS_SHARES,TRANS_PRICEPERSHARE,TransactionValue,alpha,beta
TSLA,DENHOLM ROBYN M,Director,2022-05-02,S,100.0,885.91,88591.0,0.001264434537922947,1.7854726271112185
TSLA,DENHOLM ROBYN M,Director,2022-05-02,S,400.0,857.29,342916.0,0.001264434537922947,1.7854726271112185
TSLA,DENHOLM ROBYN M,Director,2022-05-02,S,200.0,859.98,171996.0,0.001264434537922947,1.7854726271112185
MA,Seshadri Raj,Officer,2022-04-29,S,400.0,370.83,148332.0,-0.000550922274518122,1.2284235969153539
MA,Seshadri Raj,Officer,2022-04-29,S,333.0,363.18,120938.94,-0.000550922274518122,1.2284235969153539
MA,Seshadri Raj,Officer,2022-04-29,S,900.0,365.53,328977.0,-0.000550922274518122,1.2284235969153539
MA,Seshadri Raj,Officer,2022-04-29,S,1708.0,366.38,625777.04,-0.000550922274518122,1.2284235969153539
MA,Seshadri Raj,Officer,2022-04-29,S,400.0,367.37,146948.0,-0.000550922274518122,1.2284235969153539
MA,Seshadri Raj,Officer,2022-04-29,S,1559.0,368.54,574553.86,-0.000550922274518122,1.2284235969153539
MA,Seshadri Raj,Officer,2022-04-29,S,700.0,369.6,258720.00000000003,-0.000550922274518122,1.2284235969153539
MA,Seshadri Raj,Officer,2022-04-29,S,400.0,373.67,149468.0,-0.000550922274518122,1.2284235969153539
MA,Seshadri Raj,Officer,2022-04-29,S,200.0,376.14,75228.0,-0.000550922274518122,1.2284235969153539
MA,Seshadri Raj,Officer,2022-04-29,S,400.0,362.11,144844.0,-0.000550922274518122,1.2284235969153539
MA,Murphy Timothy H,Officer,2022-04-29,S,400.0,371.18,148472.0,-0.000550922274518122,1.2284235969153539
MA,Murphy Timothy H,Officer,2022-04-29,S,700.0,370.39,259273.0,-0.000550922274518122,1.2284235969153539
MA,Murphy Timothy H,Officer,2022-04-29,S,1800.0,369.22,664596.0,-0.000550922274518122,1.2284235969153539
MA,Murphy Timothy H,Officer,2022-04-29,S,2440.0,368.39,898871.6,-0.000550922274518122,1.2284235969153539
MA,Murphy Timothy H,Officer,2022-04-29,S,1600.0,367.13,587408.0,-0.000550922274518122,1.2284235969153539
MA,Murphy Timothy H,Officer,2022-04-29,S,2950.0,366.16,1080172.0,-0.000550922274518122,1.2284235969153539
MA,Murphy Timothy H,Officer,2022-04-29,S,3479.0,365.5,1271574.5,-0.000550922274518122,1.2284235969153539
MA,Murphy Timothy H,Officer,2022-04-29,S,200.0,376.47,75294.0,-0.000550922274518122,1.2284235969153539
MA,Murphy Timothy H,Officer,2022-04-29,S,258.0,374.46,96610.68,-0.000550922274518122,1.2284235969153539
MA,Murphy Timothy H,Officer,2022-04-29,S,542.0,373.39,202377.38,-0.000550922274518122,1.2284235969153539
MA,Murphy Timothy H,Officer,2022-04-29,S,555.0,372.38,206670.9,-0.000550922274518122,1.2284235969153539
ADBE,Lewnes Ann,Officer,2022-05-02,S,793.0,400.0,317200.0,-0.0006628295256751237,1.492020197793825
V,KELLY ALFRED F JR,"Director,Officer",2022-04-29,S,9000.0,218.62,1967580.0,-0.0005162546128408791,1.083826282927395
TSLA,Baglino Andrew D,Officer,2022-04-27,S,3500.0,899.42,3147970.0,0.0011591775480646333,1.7339916776197235
PG,Moeller Jon R,"Director,Officer",2022-04-27,S,81.0,159.3,12903.3,0.0006693977721448708,0.3376982078550799
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,1900.0,897.7,1705630.0,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,210.0,898.5,188685.0,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,10297.0,901.19,9279553.43,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,9968.0,902.85,8999608.8,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,37662.0,896.01,33745528.62,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,7064.0,894.58,6319313.12,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,15276.0,893.65,13651397.4,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,11093.0,892.73,9903053.89,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,12007.0,891.65,10706041.55,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,12375.0,890.51,11020061.25,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,143725.0,889.5,127843387.5,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,186262.0,888.62,165516138.44,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,147637.0,887.68,131054412.16,0.0009195265644816717,1.764473753105567
TSLA,Musk Elon,"Director,Officer,TenPercentOwner",2022-04-28,S,77933.0,886.64,69098515.12,0.0009195265644816717,1.764473753105567
