Date,AAPL,ADBE,AMZN,BAC,BRK-B,DIS,GOOGL,HD,JNJ,JPM,MA,META,MSFT,NVDA,PG,PYPL,TSLA,UNH,V,VZ
2021-01-04,125.63248443603516,485.3399963378906,159.3314971923828,26.327251434326172,228.4499969482422,172.27198791503906,85.54792785644531,230.37684631347656,134.28736877441406,109.00053405761719,340.00933837890625,266.5988464355469,207.95611572265625,13.060795783996582,118.9655532836914,229.9287109375,243.2566680908203,317.84674072265625,208.7515106201172,41.52804183959961
2021-01-05,127.18579864501953,485.69000244140625,160.92550659179688,26.528900146484375,227.47000122070312,173.00885009765625,86.23780822753906,232.236083984375,135.86618041992188,109.59363555908203,336.0723876953125,268.6112060546875,208.15673828125,13.350874900817871,119.7251968383789,232.89303588867188,245.0366668701172,313.57244873046875,205.63600158691406,41.3375244140625
2021-01-06,122.90452575683594,466.30999755859375,156.91900634765625,28.18585968017578,230.27000427246094,173.66815185546875,85.38685607910156,233.56292724609375,137.1447296142578,114.73967742919922,336.1981201171875,261.01788330078125,202.75936889648438,12.563801765441895,120.98543548583984,224.88241577148438,251.9933319091797,326.73193359375,203.8241729736328,41.83854675292969
2021-01-07,127.0984115600586,477.739990234375,158.10800170898438,28.808319091796875,232.8800048828125,173.14459228515625,87.93724060058594,232.41944885253906,137.6080780029297,118.50765991210938,338.86163330078125,266.4005432128906,208.52926635742188,13.29036808013916,119.85466766357422,233.02191162109375,272.0133361816406,331.97027587890625,204.9649200439453,41.7443962097168
2021-01-08,128.1953887939453,485.1000061035156,159.13499450683594,28.51900291442871,234.02999877929688,173.251220703125,89.1014175415039,234.8897705078125,137.32492065429688,118.63848114013672,342.7261962890625,265.24072265625,209.7998046875,13.223388671875,119.80282592773438,240.3782196044922,293.3399963378906,330.4788818359375,206.537109375,41.223751068115234
2021-01-11,125.21504974365234,474.239990234375,155.7104949951172,28.992420196533203,233.42999267578125,173.6390838623047,87.04267120361328,236.7578125,136.75,120.40909576416016,337.2538757324219,254.6041717529297,207.7650909423828,13.566753387451172,118.99144744873047,235.46080017089844,270.39666748046875,328.07781982421875,204.08302307128906,40.98124694824219
2021-01-12,125.04029846191406,471.6499938964844,156.04150390625,29.509666442871094,233.02999877929688,170.63343811035156,86.10795593261719,241.20960998535156,135.68605041503906,122.30178833007812,332.1398620605469,248.9042205810547,205.3195343017578,13.430554389953613,118.3009033203125,235.59959411621094,283.14666748046875,325.0040283203125,200.2197265625,40.83861541748047
2021-01-13,127.06929779052734,472.04998779296875,158.29449462890625,29.334335327148438,234.50999450683594,170.7594451904297,86.59464263916016,239.21934509277344,135.4800567626953,122.41516876220703,335.442626953125,249.44943237304688,206.66650390625,13.477365493774414,118.48216247558594,242.79725646972656,284.8033447265625,322.8851013183594,200.68946838378906,40.69596481323242
2021-01-14,125.1471176147461,463.2699890136719,156.37350463867188,29.798980712890625,235.02000427246094,168.15133666992188,85.78532409667969,234.23513793945312,137.84832763671875,123.13040924072266,316.6524963378906,243.50167846679688,203.49493408203125,13.147198677062988,117.22188568115234,239.9816436767578,281.6666564941406,318.7834777832031,193.50933837890625,40.681705474853516
2021-01-15,123.42877197265625,458.0799865722656,155.21249389648438,28.9398136138916,233.49000549316406,166.22190856933594,85.62177276611328,240.56365966796875,137.54800415039062,120.92367553710938,313.097900390625,249.171875,203.14144897460938,12.807815551757812,116.34144592285156,237.7311248779297,275.38665771484375,319.4837341308594,193.25047302246094,40.924190521240234
